pass,pass_desc,image,baseline_n,ablated_n,delta_n,baseline_free,ablated_free,delta_free,diag,wall_support,baseline_wall_support,iou_vs_baseline,n_wall,n_window,n_door
manhattan_force_axis,manhattan_force_axis,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,95,-15,35,37,2,0,0.799,0.7851,0.7861,76,7,12
manhattan_isect_snap,manhattan_intersection_snap,source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
manhattan_isect_snap,manhattan_intersection_snap,sg2.png,127,127,0,22,22,0,0,0.726,0.726,1.0,98,13,16
manhattan_isect_snap,manhattan_intersection_snap,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,109,-1,35,35,0,0,0.7839,0.7851,0.9943,84,8,17
manhattan_t_project,manhattan_t_project,source.png,117,114,-3,11,13,2,0,0.8197,0.8485,0.9649,83,16,15
manhattan_t_project,manhattan_t_project,sg2.png,127,128,1,22,21,-1,0,0.7278,0.726,0.9947,99,13,16
manhattan_t_project,manhattan_t_project,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,109,-1,35,35,0,0,0.7832,0.7851,0.9107,84,8,17
cluster_parallel,cluster_parallel_duplicates,source.png,117,133,16,11,10,-1,0,0.9127,0.8485,0.7815,101,17,15
cluster_parallel,cluster_parallel_duplicates,sg2.png,127,161,34,22,24,2,0,0.7058,0.726,0.7,132,13,16
cluster_parallel,cluster_parallel_duplicates,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,145,35,35,23,-12,0,0.7357,0.7851,0.7668,106,22,17
grid_snap_2,grid_snap_endpoints,source.png,117,117,0,11,12,1,0,0.8493,0.8485,0.9964,86,16,15
grid_snap_2,grid_snap_endpoints,sg2.png,127,131,4,22,21,-1,0,0.7526,0.726,0.9627,102,13,16
grid_snap_2,grid_snap_endpoints,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,108,-2,35,37,2,0,0.7791,0.7851,0.9718,83,8,17
manhattan_merge_2,manhattan_ultimate_merge (post-watertight),source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
manhattan_merge_2,manhattan_ultimate_merge (post-watertight),sg2.png,127,127,0,22,22,0,0,0.726,0.726,1.0,98,13,16
manhattan_merge_2,manhattan_ultimate_merge (post-watertight),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,35,0,0,0.7851,0.7851,1.0,85,8,17
t_snap_with_extension,t_snap_with_extension (candidate),source.png,117,122,5,11,12,1,0,0.8443,0.8485,0.9868,91,16,15
t_snap_with_extension,t_snap_with_extension (candidate),sg2.png,127,130,3,22,23,1,0,0.7266,0.726,0.9953,101,13,16
t_snap_with_extension,t_snap_with_extension (candidate),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,35,0,0,0.7866,0.7851,1.0,85,8,17
manhattan_merge_3,manhattan_ultimate_merge (post-gap-closing),source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
manhattan_merge_3,manhattan_ultimate_merge (post-gap-closing),sg2.png,127,127,0,22,22,0,0,0.726,0.726,1.0,98,13,16
manhattan_merge_3,manhattan_ultimate_merge (post-gap-closing),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,35,0,0,0.7851,0.7851,1.0,85,8,17
brute_force_ray,brute_force_ray_extend (candidate),source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
brute_force_ray,brute_force_ray_extend (candidate),sg2.png,127,129,2,22,28,6,0,0.7277,0.726,1.0,100,13,16
brute_force_ray,brute_force_ray_extend (candidate),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,112,2,35,41,6,0,0.7977,0.7851,0.9743,87,8,17
insert_connectors,insert_missing_connectors (candidate),source.png,117,109,-8,11,17,6,0,0.8663,0.8485,0.9636,78,16,15
insert_connectors,insert_missing_connectors (candidate),sg2.png,127,120,-7,22,30,8,0,0.7219,0.726,0.9957,91,13,16
insert_connectors,insert_missing_connectors (candidate),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,97,-13,35,45,10,0,0.7757,0.7851,0.9968,72,8,17
fuse_close_endpoints,fuse_close_endpoints,source.png,117,117,0,11,27,16,0,0.8606,0.8485,0.8935,86,16,15
fuse_close_endpoints,fuse_close_endpoints,sg2.png,127,127,0,22,37,15,0,0.75,0.726,0.9499,98,13,16
fuse_close_endpoints,fuse_close_endpoints,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,52,17,0,0.7803,0.7851,0.8294,85,8,17
manhattan_merge_4,manhattan_ultimate_merge (final),source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
manhattan_merge_4,manhattan_ultimate_merge (final),sg2.png,127,128,1,22,22,0,0,0.726,0.726,1.0,99,13,16
manhattan_merge_4,manhattan_ultimate_merge (final),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,35,0,0,0.7851,0.7851,1.0,85,8,17
